"Code","Country","State","Zip/Post Code","Rate","Zip/Post is Range","Range From","Range To","default"
"GB-Standard","GB","*","","20.0000","","","",""
"AT-Standard","AT","*","","20.0000","","","",""
"BE-Standard","BE","*","","20.0000","","","",""
"BG-Standard","BG","*","","20.0000","","","",""
"HR-Standard","HR","*","","20.0000","","","",""
"CY-Standard","CY","*","","20.0000","","","",""
"CZ-Standard","CZ","*","","20.0000","","","",""
"DK-Standard","DK","*","","20.0000","","","",""
"EE-Standard","EE","*","","20.0000","","","",""
"FI-Standard","FI","*","","20.0000","","","",""
"FR-Standard","FR","*","","20.0000","","","",""
"DE-Standard","DE","*","","20.0000","","","",""
"GR-Standard","GR","*","","20.0000","","","",""
"HU-Standard","HU","*","","20.0000","","","",""
"IM-Standard","IM","*","","20.0000","","","",""
"IE-Standard","IE","*","","20.0000","","","",""
"IT-Standard","IT","*","","20.0000","","","",""
"LV-Standard","LV","*","","20.0000","","","",""
"LT-Standard","LT","*","","20.0000","","","",""
"LU-Standard","LU","*","","20.0000","","","",""
"MT-Standard","MT","*","","20.0000","","","",""
"NL-Standard","NL","*","","20.0000","","","",""
"PL-Standard","PL","*","","20.0000","","","",""
"PT-Standard","PT","*","","20.0000","","","",""
"RO-Standard","RO","*","","20.0000","","","",""
"SK-Standard","SK","*","","20.0000","","","",""
"SI-Standard","SI","*","","20.0000","","","",""
"ES-Standard","ES","*","","20.0000","","","",""
"ES-Tenerife-Standard","ES","Santa Cruz de Tenerife","","0.0000","","","","",""
"ES-Las Palmas-Standard","ES","Las Palmas","*","0.0000","","","","",""
"ES-Melilla-Standard","ES","Melilla","","0.0000","","","","",""
"ES-Ceuta-Standard","ES","Ceuta","*","0.0000","","","","",""
"SE-Standard","SE","*","","20.0000","","","",""
"AT-Reduced","AT","*","","5.0000","","","",""
"BE-Reduced","BE","*","","5.0000","","","",""
"BG-Reduced","BG","*","","5.0000","","","",""
"GB-Reduced","GB","*","","5.0000","","","",""
"HR-Reduced","HR","*","","5.0000","","","",""
"CY-Reduced","CY","*","","5.0000","","","",""
"CZ-Reduced","CZ","*","","5.0000","","","",""
"DK-Reduced","DK","*","","5.0000","","","",""
"EE-Reduced","EE","*","","5.0000","","","",""
"FI-Reduced","FI","*","","5.0000","","","",""
"FR-Reduced","FR","*","","5.0000","","","",""
"DE-Reduced","DE","*","","5.0000","","","",""
"GR-Reduced","GR","*","","5.0000","","","",""
"HU-Reduced","HU","*","","5.0000","","","",""
"IM-Reduced","IM","*","*","5.0000","","","",""
"IE-Reduced","IE","*","","5.0000","","","",""
"IT-Reduced","IT","*","","5.0000","","","",""
"LV-Reduced","LV","*","","5.0000","","","",""
